job_title,company_text,job_xinzhi,new_url
测试工程师,好汽配,6k-10k,https://www.zhipin.com/job_detail/dcdf4166fefb9de01XV52NW5FlE%7E.html?ka=search_list_1
手机专项测试工程师,联想利泰,5k-7k,https://www.zhipin.com/job_detail/ebf033b7564c064c1XV53Ny-E1A%7E.html?ka=search_list_2
测试工程师（功能测试）,态特,10k-14k,https://www.zhipin.com/job_detail/7921101b351cefa41XV52t2_EFo%7E.html?ka=search_list_3
测试工程师,丝武,5k-7k,https://www.zhipin.com/job_detail/8bfcf906d7142f2b1XV52d-4EFI%7E.html?ka=search_list_4
软件测试工程师,捷科智诚,8k-12k,https://www.zhipin.com/job_detail/71d0e4a7328971bf1XV43ti0FFI%7E.html?ka=search_list_5
测试工程师,人脉通,7k-14k,https://www.zhipin.com/job_detail/a3c68cdc6c4fbdce1XV53Nq0FVo%7E.html?ka=search_list_6
软件测试工程师,网钜科技,7k-9k,https://www.zhipin.com/job_detail/672313d79d8c49d71XV43t64EVI%7E.html?ka=search_list_7
软件测试工程师,识加科技,10k-20k,https://www.zhipin.com/job_detail/3a9ea014652b7f5e1XV-2tq1EVY%7E.html?ka=search_list_8
测试工程师,慧语,15k-30k,https://www.zhipin.com/job_detail/4b14389dbb5524f21XV53tW7FVs%7E.html?ka=search_list_9
测试工程师,隆达软件股份,5k-8k,https://www.zhipin.com/job_detail/10ab8123ab59fac11XV729q_ElY%7E.html?ka=search_list_10
测试工程师,普威信息技术,7k-12k,https://www.zhipin.com/job_detail/ebf5645830b194211XV73d25Fls%7E.html?ka=search_list_11
web测试工程师,Realmax,15k-25k,https://www.zhipin.com/job_detail/b4347469b93295321XV73tq4EFA%7E.html?ka=search_list_12
测试工程师,祝墉,6k-10k,https://www.zhipin.com/job_detail/be3ea1c3ca19f1b61XV72dS-FVQ%7E.html?ka=search_list_13
软件测试工程师,道康互联,8k-12k,https://www.zhipin.com/job_detail/82f482712672359f1XV40tq8FFQ%7E.html?ka=search_list_14
嵌入式软件测试工程师,智易科技上海研发中心,6k-12k,https://www.zhipin.com/job_detail/b1f15fc77bd67ba51XV709m4E1c%7E.html?ka=search_list_15
测试工程师,文枢网络,6k-12k,https://www.zhipin.com/job_detail/e6dcb77d604c05a31XV43tS1GFY%7E.html?ka=search_list_16
软件测试工程师,翼霸网络,6k-9k,https://www.zhipin.com/job_detail/a2c6e4f13cf3eafc1XV739q4E1E%7E.html?ka=search_list_17
测试工程师,智铸科技,8k-10k,https://www.zhipin.com/job_detail/c032febcff6664ca1XV42d66E1E%7E.html?ka=search_list_18
大数据测试工程师（上海）,平安银行,25k-50k,https://www.zhipin.com/job_detail/47ebf1e67cde9c201XV60tW4EVE%7E.html?ka=search_list_19
测试工程师（功能测试）,晓占投资,10k-14k,https://www.zhipin.com/job_detail/625ccbcedc409c4c1XV43Ni1FVQ%7E.html?ka=search_list_20
软件测试工程师,上海感悟,10k-15k,https://www.zhipin.com/job_detail/0fbc0623a63b4b081XV53ti_E1o%7E.html?ka=search_list_21
高级测试工程师,上海太平洋房屋,15k-25k,https://www.zhipin.com/job_detail/daa8081d6c3eabcc1XRy3d-_GFo%7E.html?ka=search_list_22
初级软件测试工程师,上海郡码智能科技,6k-8k,https://www.zhipin.com/job_detail/65eabc616a91f69c1XV52d6-GVI%7E.html?ka=search_list_23
对日软件测试工程师,宝宏软件,6k-10k,https://www.zhipin.com/job_detail/7f679ec9938cea3c1XV609i4FlY%7E.html?ka=search_list_24
系统测试工程师(web网站测试),汉堂,10k-13k,https://www.zhipin.com/job_detail/05fda1820f7ffc161XV40tW-EVo%7E.html?ka=search_list_25
测试工程师,鸭嘴兽供应链,7k-10k,https://www.zhipin.com/job_detail/190aa42f2f344be61XRz29i5ElM%7E.html?ka=search_list_26
测试工程师,群济电子,5k-10k,https://www.zhipin.com/job_detail/aa10b691222ff90e1XRz39m9FFU%7E.html?ka=search_list_27
高级测试工程师,微朋,15k-25k,https://www.zhipin.com/job_detail/67c5bfe67069fb941XV729S4EFs%7E.html?ka=search_list_28
APP测试工程师,追书神器,8k-10k,https://www.zhipin.com/job_detail/9a52a1a39ea89a161XR90t6-F1Q%7E.html?ka=search_list_29
软件测试工程师,直真科技,6k-8k,https://www.zhipin.com/job_detail/020a51c50cf6f01e1XV639q1FVA%7E.html?ka=search_list_30
硬件测试工程师,耘申科技,5k-7k,https://www.zhipin.com/job_detail/1a08d6ece526271a1XV63tu7FFs%7E.html?ka=search_list_31
软件测试工程师,崇杏健康,8k-12k,https://www.zhipin.com/job_detail/9adbe01258aaf8851XV62N66EFo%7E.html?ka=search_list_32
食品常规理化测试工程师,Intertek,5k-8k,https://www.zhipin.com/job_detail/af064e575c1761251XV40t2_GVI%7E.html?ka=search_list_33
测试工程师,励铖软件,6k-10k,https://www.zhipin.com/job_detail/b61689fa74103c961XV609i-EFs%7E.html?ka=search_list_34
测试工程师,沿汇文化,5k-8k,https://www.zhipin.com/job_detail/65c155e4161ff1251XR909y0GVs%7E.html?ka=search_list_35
测试工程师（功能测试）,态特,10k-14k,https://www.zhipin.com/job_detail/42e901cbfd9fe1e41XV529S7FlY%7E.html?ka=search_list_36
测试工程师,蓝芝麻智能科技,8k-15k,https://www.zhipin.com/job_detail/2b9891084788c4eb1XRy09S8GFQ%7E.html?ka=search_list_37
测试工程师,Realmax,6k-12k,https://www.zhipin.com/job_detail/41fd43cb1ea1ca9c1XV73ti4FFA%7E.html?ka=search_list_38
高级测试工程师/测试经理,小虫数据科技,16k-22k,https://www.zhipin.com/job_detail/bf5e3a4e030489eb1XV62tm-FVs%7E.html?ka=search_list_39
软件测试工程师,兴融联科技,10k-15k,https://www.zhipin.com/job_detail/83c0685ced8e99df1XV62921FFo%7E.html?ka=search_list_40
测试工程师（硬件测试）,联想利泰,10k-18k,https://www.zhipin.com/job_detail/dab05a9b548faf3f1XR93969GVA%7E.html?ka=search_list_41
测试工程师（上海）,纬创,11k-22k,https://www.zhipin.com/job_detail/7f27c64ff5f8643f1XV-2N26FlM%7E.html?ka=search_list_42
软件测试工程师,2144游戏,10k-15k,https://www.zhipin.com/job_detail/8b8748d95a7676771XRy3N-7FFA%7E.html?ka=search_list_43
测试工程师,纬创,10k-20k,https://www.zhipin.com/job_detail/3e6b008e9675be151XV-2dq0FVU%7E.html?ka=search_list_44
测试工程师,元拓科技,8k-16k,https://www.zhipin.com/job_detail/04b77de374ffa7e31XV-2N27ElQ%7E.html?ka=search_list_45
软件测试工程师,上海美测,6k-9k,https://www.zhipin.com/job_detail/9cb45acac27795e51XR929-_GFE%7E.html?ka=search_list_46
测试工程师,羽勒网络科技,15k-25k,https://www.zhipin.com/job_detail/ff80a7265942e0a81XRz3N24FVY%7E.html?ka=search_list_47
