zhiwei_data,zhiwei_web,company_data,company_web,xinzhi1,address1,newtime1
电池测试工程师,https://jobs.51job.com/shanghai-jdq/87216612.html?s=01&amp;t=0,上海储融检测技术股份有限公司,https://jobs.51job.com/all/co3867427.html,0.7-1.4万/月,上海-嘉定区,08-24
性能测试工程师,https://jobs.51job.com/shanghai-hpq/102820330.html?s=01&amp;t=0,上海博为峰软件技术股份有限公司,https://jobs.51job.com/all/co2314258.html,1-1.5万/月,上海-黄浦区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-pdxq/106029345.html?s=01&amp;t=0,深圳市博奥特科技有限公司,https://jobs.51job.com/all/co4902829.html,0.9-1.3万/月,上海-浦东新区,08-24
质量检验员/测试工程师,https://jobs.51job.com/shanghai/106030214.html?s=01&amp;t=0,永大电梯设备（中国）有限公司,https://jobs.51job.com/all/co1430414.html,5-8千/月,上海,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/106029955.html?s=01&amp;t=0,上海税友软件有限公司,https://jobs.51job.com/all/co2673062.html,6-8千/月,上海-浦东新区,08-24
软件测试工程师（Z）,https://jobs.51job.com/shanghai-xhq/106029977.html?s=01&amp;t=0,中软国际科技服务有限公司,https://jobs.51job.com/all/co2555714.html,1-1.5万/月,上海-徐汇区,08-24
测试工程师,https://jobs.51job.com/shanghai-xhq/106028309.html?s=01&amp;t=0,凹凸共享租车公司,https://jobs.51job.com/all/co3422796.html,0.8-1.2万/月,上海-徐汇区,08-24
软件测试工程师 QA Engineer,https://jobs.51job.com/shanghai-jaq/103505653.html?s=01&amp;t=0,六科多媒体科技（上海）有限公司,https://jobs.51job.com/all/co5087892.html,10-22万/年,上海-静安区,08-24
测试工程师,https://jobs.51job.com/shanghai-sjq/43053215.html?s=01&amp;t=0,上海纳恩汽车技术有限公司,https://jobs.51job.com/all/co2448713.html,0.7-1.3万/月,上海-松江区,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/85771523.html?s=01&amp;t=0,上海轩华汽车技术咨询服务有限公司,https://jobs.51job.com/all/co4004632.html,0.6-1.2万/月,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-mhq/91538678.html?s=01&amp;t=0,上海迅傲信息科技股份有限公司,https://jobs.51job.com/all/co2292711.html,0.8-1.2万/月,上海-闵行区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-xhq/102026128.html?s=01&amp;t=0,艺诺艺术有限公司,https://jobs.51job.com/all/co4134085.html,1-1.5万/月,上海-徐汇区,08-24
急聘 APP测试工程师,https://jobs.51job.com/shanghai-mhq/106023340.html?s=01&amp;t=0,上饶市乐游网络科技有限公司,https://jobs.51job.com/all/co4814980.html,0.6-1.2万/月,上海-闵行区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-xhq/80310170.html?s=01&amp;t=0,上海艾莎信息科技有限公司,https://jobs.51job.com/all/co3119242.html,4.5-6千/月,上海-徐汇区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-hpq/106022639.html?s=01&amp;t=0,观其科技（北京）股份有限公司,https://jobs.51job.com/all/co4898306.html,1.2-1.5万/月,上海-黄浦区,08-24
产品测试工程师/IC测试工程师,https://jobs.51job.com/shanghai-pdxq/100088927.html?s=01&amp;t=0,聚辰半导体(上海)有限公司,https://jobs.51job.com/all/co2473832.html,,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-jaq/106022251.html?s=01&amp;t=0,上海宝尊电子商务有限公司,https://jobs.51job.com/all/co2356581.html,1-1.5万/月,上海-静安区,08-24
性能测试工程师,https://jobs.51job.com/shanghai/105163345.html?s=01&amp;t=0,沈机（上海）智能系统研发设计有限公司,https://jobs.51job.com/all/co5147610.html,,上海,08-24
中级测试工程师（金融方向）,https://jobs.51job.com/shanghai-pdxq/105890895.html?s=01&amp;t=0,上海金指软件技术有限公司,https://jobs.51job.com/all/co2181691.html,1-1.5万/月,上海-浦东新区,08-24
测试工程师 Test Engineer (非标自动化系统）,https://jobs.51job.com/shanghai-mhq/106019983.html?s=01&amp;t=0,康莱德自动化测试技术（上海）有限公司,https://jobs.51job.com/all/co3545735.html,10-20万/年,上海-闵行区,08-24
web测试工程师（GE）,https://jobs.51job.com/shanghai-pdxq/106019060.html?s=01&amp;t=0,上海网钜信息科技有限公司,https://jobs.51job.com/all/co3225922.html,7-9千/月,上海-浦东新区,08-24
高级测试工程师/测试工程师,https://jobs.51job.com/shanghai/100046519.html?s=01&amp;t=0,上海腾程医学科技信息有限公司,https://jobs.51job.com/all/co4780336.html,0.8-1.5万/月,上海,08-24
客服/测试工程师,https://jobs.51job.com/shanghai/100555029.html?s=01&amp;t=0,上海格银信息技术有限公司,https://jobs.51job.com/all/co2281658.html,6-8千/月,上海,08-24
智能手机测试工程师（外派某知名企业）,https://jobs.51job.com/shanghai-pdxq/80404371.html?s=01&amp;t=0,北京思迪康泰科技有限公司,https://jobs.51job.com/all/co2614875.html,6-8千/月,上海-浦东新区,08-24
材料测试工程师,https://jobs.51job.com/shanghai-ypq/92633457.html?s=01&amp;t=0,上海瀚海检测技术股份有限公司,https://jobs.51job.com/all/co4516583.html,5.5-6.5千/月,上海-杨浦区,08-24
技术员/助理工程师//测试工程师,https://jobs.51job.com/shanghai-xhq/103331574.html?s=01&amp;t=0,上海路傲电子科技有限公司,https://jobs.51job.com/all/co4329995.html,4.5-6千/月,上海-徐汇区,08-24
功能测试工程师（天天基金）,https://jobs.51job.com/shanghai/105153670.html?s=01&amp;t=0,东方财富信息股份有限公司,https://jobs.51job.com/all/co2038636.html,0.8-1.2万/月,上海,08-24
APP测试工程师,https://jobs.51job.com/shanghai-pdxq/105485100.html?s=01&amp;t=0,上海大智慧股份有限公司,https://jobs.51job.com/all/co1422755.html,1.5-2万/月,上海-浦东新区,08-24
camera测试工程师,https://jobs.51job.com/shanghai-pdxq/98528908.html?s=01&amp;t=0,无锡超正软件有限公司,https://jobs.51job.com/all/co3948783.html,6-8千/月,上海-浦东新区,08-24
性能测试工程师,https://jobs.51job.com/shanghai/105900995.html?s=01&amp;t=0,上海派维网络科技有限公司,https://jobs.51job.com/all/co241439.html,1-1.5万/月,上海,08-24
性能测试工程师（浦东外高桥 编号05）,https://jobs.51job.com/shanghai-pdxq/105412474.html?s=01&amp;t=0,上海复深蓝软件股份有限公司,https://jobs.51job.com/all/co102233.html,1-1.5万/月,上海-浦东新区,08-24
高级测试工程师,https://jobs.51job.com/shanghai-xhq/106011329.html?s=01&amp;t=0,永辉超市股份有限公司,https://jobs.51job.com/all/co2541294.html,1-3万/月,上海-徐汇区,08-24
传感器测试工程师,https://jobs.51job.com/shanghai-bsq/104738021.html?s=01&amp;t=0,上海因士环保科技有限公司,https://jobs.51job.com/all/co4714028.html,0.8-1万/月,上海-宝山区,08-24
软件测试工程师,https://jobs.51job.com/shanghai/100019168.html?s=01&amp;t=0,上海力信电气技术有限公司,https://jobs.51job.com/all/co2811671.html,4.5-6千/月,上海,08-24
产品测试工程师,https://jobs.51job.com/shanghai-pdxq/99943929.html?s=01&amp;t=0,上海盒鑫信息技术有限公司,https://jobs.51job.com/all/co4832855.html,0.8-1万/月,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-xhq/101197121.html?s=01&amp;t=0,上海鸿研物流技术有限公司,https://jobs.51job.com/all/co2210982.html,1-1.5万/月,上海-徐汇区,08-24
APP测试工程师,https://jobs.51job.com/shanghai-xhq/106008050.html?s=01&amp;t=0,宇起数字科技（上海）有限公司,https://jobs.51job.com/all/co4420442.html,0.8-1万/月,上海-徐汇区,08-24
高级测试工程师,https://jobs.51job.com/shanghai/104312605.html?s=01&amp;t=0,上海链尔信息科技有限公司,https://jobs.51job.com/all/co4908713.html,1-1.5万/月,上海,08-24
测试工程师,https://jobs.51job.com/shanghai/100541299.html?s=01&amp;t=0,上海东方希杰商务有限公司/东方购物/东方CJ,https://jobs.51job.com/all/co1980867.html,1-1.8万/月,上海,08-24
硬件测试工程师,https://jobs.51job.com/shanghai/103909967.html?s=01&amp;t=0,与德通讯技术有限公司,https://jobs.51job.com/all/co2498138.html,0.6-1.5万/月,上海,08-24
高级软件测试工程师,https://jobs.51job.com/shanghai-xhq/56439825.html?s=01&amp;t=0,聚领信息技术（上海）有限公司,https://jobs.51job.com/all/co2790392.html,0.8-1万/月,上海-徐汇区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-pdxq/61848779.html?s=01&amp;t=0,上海龙泰信息技术有限公司,https://jobs.51job.com/all/co2401859.html,3-4.5千/月,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-bsq/103122420.html?s=01&amp;t=0,上海复控华龙微系统技术有限公司,https://jobs.51job.com/all/co2093029.html,0.8-1万/月,上海-宝山区,08-24
测试工程师（上海应届生）,https://jobs.51job.com/shanghai-ptq/104369716.html?s=01&amp;t=0,上海古鳌电子科技股份有限公司,https://jobs.51job.com/all/co2175411.html,5-8千/月,上海-普陀区,08-24
