zhiwei_data,zhiwei_web,company_data,company_web,xinzhi1,address1,newtime1
测试工程师,http://jobs.51job.com/shanghai-pdxq/97349314.html?s=01&amp;t=0,永恒力叉车制造（上海）有限公司,http://jobs.51job.com/all/co2703343.html,1.5-2万/月,上海-青浦区,03-02
游戏测试工程师,http://jobs.51job.com/shanghai/62398402.html?s=01&amp;t=0,上海数奇投资管理有限公司,http://jobs.51job.com/all/co2881253.html,6-8千/月,上海-浦东新区,03-05
测试工程师,http://jobs.51job.com/shanghai/77858208.html?s=01&amp;t=0,上海逗屋网络科技有限公司,http://jobs.51job.com/all/co3340669.html,4-7千/月,上海,03-05
测试工程师（地图）,http://jobs.51job.com/shanghai/99167803.html?s=01&amp;t=0,上海融跃电子科技有限公司,http://jobs.51job.com/all/co2612132.html,5-8千/月,上海,03-05
信息安全测试工程师,http://jobs.51job.com/shanghai-pdxq/92025676.html?s=01&amp;t=0,上海博泰悦臻电子设备制造有限公司,http://jobs.51job.com/all/co2546139.html,,上海,03-05
自动化测试工程师,http://jobs.51job.com/shanghai/95095326.html?s=01&amp;t=0,上海期货信息技术有限公司,http://jobs.51job.com/all/co1991592.html,,上海-浦东新区,03-05
软件测试工程师--slkj,http://jobs.51job.com/shanghai-pdxq/99166683.html?s=01&amp;t=0,车音智能科技有限公司,http://jobs.51job.com/all/co2649742.html,1-1.6万/月,上海,03-05
系统测试工程师,http://jobs.51job.com/shanghai/92069536.html?s=01&amp;t=0,善林（上海）金融信息服务有限公司,http://jobs.51job.com/all/co3267529.html,1-1.5万/月,上海-浦东新区,03-05
测试工程师,http://jobs.51job.com/shanghai-xhq/98240272.html?s=01&amp;t=0,上海奥诺信息技术有限公司,http://jobs.51job.com/all/co366909.html,4-8千/月,上海,03-05
手机软件测试工程师,http://jobs.51job.com/shanghai-xhq/45188526.html?s=01&amp;t=0,嬴客网络科技（上海）有限公司,http://jobs.51job.com/all/co4664509.html,1.5-2.5万/月,上海-徐汇区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-pdxq/98559825.html?s=01&amp;t=0,上海盛本智能科技股份有限公司,http://jobs.51job.com/all/co2545811.html,0.4-1万/月,上海-徐汇区,03-05
化学测试工程师,http://jobs.51job.com/shanghai-ypq/98932928.html?s=01&amp;t=0,安吉保（上海）企业管理咨询有限公司,http://jobs.51job.com/all/co4341957.html,6-8千/月,上海-浦东新区,03-05
测试工程师,http://jobs.51job.com/shanghai-pdxq/87225636.html?s=01&amp;t=0,上海牡丹香精香料有限公司,http://jobs.51job.com/all/co4211613.html,10-15万/年,上海-杨浦区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-mhq/84364222.html?s=01&amp;t=0,北京宏天信业信息技术股份有限公司上海分公司,http://jobs.51job.com/all/co3798089.html,6-8千/月,上海-浦东新区,03-05
自动化测试工程师,http://jobs.51job.com/shanghai/98208567.html?s=01&amp;t=0,上海杉德金卡信息系统科技有限公司,http://jobs.51job.com/all/co187509.html,4.5-6千/月,上海-闵行区,03-05
技术部测试工程师,http://jobs.51job.com/shanghai/84216076.html?s=01&amp;t=0,上海舟恩信息技术有限公司,http://jobs.51job.com/all/co3400101.html,1-1.5万/月,上海,03-05
硬件测试工程师J11090,http://jobs.51job.com/shanghai-xhq/99130537.html?s=01&amp;t=0,上海泰坦通信工程有限公司,http://jobs.51job.com/all/co1677360.html,4-7千/月,上海,03-05
软件测试工程师,http://jobs.51job.com/shanghai-pdxq/89560127.html?s=01&amp;t=0,上海龙旗科技股份有限公司,http://jobs.51job.com/all/co276785.html,1-1.5万/月,上海-徐汇区,03-05
IC测试工程师,http://jobs.51job.com/shanghai/78081883.html?s=01&amp;t=0,上海邦信信息技术有限公司,http://jobs.51job.com/all/co3939042.html,1-1.5万/月,上海-浦东新区,03-05
软件测试工程师,http://jobs.51job.com/shanghai/92210484.html?s=01&amp;t=0,钜泉光电科技（上海）股份有限公司,http://jobs.51job.com/all/co2712309.html,1-1.5万/月,上海,03-05
linux测试工程师(联想),http://jobs.51job.com/shanghai-pdxq/82396780.html?s=01&amp;t=0,上海久誉软件系统有限公司,http://jobs.51job.com/all/co3225208.html,6-8千/月,上海,03-05
杂货测试工程师,http://jobs.51job.com/shanghai/85041957.html?s=01&amp;t=0,上海网钜信息科技有限公司,http://jobs.51job.com/all/co3225922.html,1-1.5万/月,上海-浦东新区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-cnq/99160244.html?s=01&amp;t=0,颛泓（上海）测试技术服务有限公司,http://jobs.51job.com/all/co2130370.html,4.5-6千/月,上海,03-05
测试工程师,http://jobs.51job.com/shanghai-hkq/92945775.html?s=01&amp;t=0,上海金榜智能科技有限公司,http://jobs.51job.com/all/co2637823.html,1-1.5万/月,上海-长宁区,03-05
测试工程师,http://jobs.51job.com/shanghai-pdxq/98487005.html?s=01&amp;t=0,掌门1对1,http://jobs.51job.com/all/co3601218.html,0.9-1.5万/月,上海-虹口区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-mhq/99160946.html?s=01&amp;t=0,上海东泽国际物流有限公司,http://jobs.51job.com/all/co2484041.html,0.8-1.5万/月,上海-浦东新区,03-05
技术支持测试工程师,http://jobs.51job.com/shanghai-cnq/99159825.html?s=01&amp;t=0,上海骞余实业有限公司,http://jobs.51job.com/all/co4806648.html,6-8千/月,上海-闵行区,03-05
测试工程师,http://jobs.51job.com/shanghai-mhq/97746222.html?s=01&amp;t=0,上海沪万智能科技有限公司,http://jobs.51job.com/all/co3899562.html,6-8千/月,上海-长宁区,03-05
自动化测试工程师,http://jobs.51job.com/shanghai-xhq/85436542.html?s=01&amp;t=0,上海中弗新能源科技有限公司,http://jobs.51job.com/all/co4454920.html,0.6-1万/月,上海-闵行区,03-05
高级引擎测试工程师,http://jobs.51job.com/shanghai-pdxq/99159287.html?s=01&amp;t=0,上海拿米金融信息服务有限公司,http://jobs.51job.com/all/co3852672.html,1.2-2万/月,上海-徐汇区,03-05
资深测试工程师（业务端）,http://jobs.51job.com/shanghai-pdxq/97923829.html?s=01&amp;t=0,视辰信息科技（上海）有限公司,http://jobs.51job.com/all/co3171871.html,1.5-2.5万/月,上海-浦东新区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-pdxq/92980728.html?s=01&amp;t=0,上海麦子资产管理有限公司,http://jobs.51job.com/all/co2314149.html,2.5-3.5万/月,上海-浦东新区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-ypq/93910058.html?s=01&amp;t=0,上海佰沃网络科技有限公司,http://jobs.51job.com/all/co3410903.html,0.4-1万/月,上海-浦东新区,03-05
测试工程师,http://jobs.51job.com/shanghai/96637907.html?s=01&amp;t=0,上海浅橙网络科技有限公司,http://jobs.51job.com/all/co4154005.html,1.5-2万/月,上海-杨浦区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-hpq/86847492.html?s=01&amp;t=0,上海达联电子科技有限公司,http://jobs.51job.com/all/co2275538.html,0.8-1.3万/月,上海,03-05
测试工程师,http://jobs.51job.com/shanghai-xhq/95719010.html?s=01&amp;t=0,上海车赢信息技术有限公司,http://jobs.51job.com/all/co3858922.html,0.8-1.2万/月,上海-黄浦区,03-05
高级测试工程师,http://jobs.51job.com/shanghai-ypq/97815984.html?s=01&amp;t=0,芯旸光电科技（上海）有限公司,http://jobs.51job.com/all/co2111585.html,5-7千/月,上海-徐汇区,03-05
产品测试工程师,http://jobs.51job.com/shanghai-pdxq/98046358.html?s=01&amp;t=0,上海又乐网络科技有限公司,http://jobs.51job.com/all/co4449208.html,1-1.5万/月,上海-杨浦区,03-05
初级测试工程师,http://jobs.51job.com/shanghai-ptq/83788792.html?s=01&amp;t=0,上海企仁实业有限公司,http://jobs.51job.com/all/co3111538.html,4-8千/月,上海-浦东新区,03-05
硬件测试工程师,http://jobs.51job.com/shanghai-mhq/93419980.html?s=01&amp;t=0,上海晓信信息科技有限公司,http://jobs.51job.com/all/co3936528.html,6-8千/月,上海-普陀区,03-05
电子研发测试工程师,http://jobs.51job.com/shanghai-mhq/79708820.html?s=01&amp;t=0,上海三思电子工程有限公司,http://jobs.51job.com/all/co1986700.html,4-6千/月,上海-闵行区,03-05
